tag,tag_key,tag_value,osm_type,osm_id,name,name_ko,name_en,has_hangul_name,lat,lon,address
amenity=hospital,amenity,hospital,node,368799797,아름신경정신과,아름신경정신과,Areum Neuropsychiatric Clinic,Y,37.5226510,126.8050590,
shop=convenience,shop,convenience,node,7558542705,GS25,,,N,37.5342676,126.9637178,
healthcare=hospital,healthcare,hospital,node,4658403250,강남힘찬병원,,,Y,37.5075302,127.1099770,백제고분로 407
amenity=restaurant,amenity,restaurant,node,9093012970,위풍당당,,,Y,37.4316578,127.1745928,둔촌대로 519
amenity=post_office,amenity,post_office,node,368876118,서울잠실우성우편취급국,서울잠실우성우편취급국,Jamsiluseong Postal Agency,Y,37.5065585,127.0742749,올림픽로4길 48
shop=supermarket,shop,supermarket,node,13571674404,코사마트,,,Y,37.5819555,127.0529850,서울시립대로 134-7
shop=convenience,shop,convenience,node,13996710515,zero store,,,N,37.4860600,126.9138905,
amenity=restaurant,amenity,restaurant,node,13946798549,오늘은 철판,,,Y,37.5115027,127.0510908,봉은사로72길 11
amenity=restaurant,amenity,restaurant,node,13946959143,밥집,,,Y,37.5472032,127.0400704,서울특별시 성동구 서울숲2길 14
amenity=restaurant,amenity,restaurant,node,13854680360,정성 서울국수집,,,Y,37.5946139,127.0654587,"휘경로 51, 1층 (휘경동)"
amenity=restaurant,amenity,restaurant,node,12192200464,원할머니보쌈 족발 공덕점,원할머니보쌈 족발 공덕점,,Y,37.5470330,126.9542360,마포대로10길 12
amenity=restaurant,amenity,restaurant,node,13854681867,명가네콩나물국밥,,,Y,37.5780768,127.0724930,"장한로 198, 1층 (장안동)"
amenity=restaurant,amenity,restaurant,node,12074413340,철길 부산집,,,Y,37.5176358,126.9086479,영중로4길 21
shop=convenience,shop,convenience,node,3326557093,세븐일레븐 마포합정동점,,,Y,37.5510489,126.9053739,
amenity=doctors,amenity,doctors,node,368741574,에덴산부인과,에덴산부인과,Eden Obstetrics & Gynecology Clinic,Y,37.6016120,126.9267220,
amenity=restaurant,amenity,restaurant,node,13946958753,산도스(SANDOS),,,Y,37.5477010,127.0396213,서울특별시 성동구 서울숲2길 6
amenity=cafe,amenity,cafe,node,12074583386,어나더쏭 군자점,,,Y,37.5537159,127.0772990,능동로 265
